,trial_type,session,run,subject_id,trial_id,stimulus
3,test,1,1,1,3,candelabra_14s.jpg
5,test,1,1,1,5,pacifier_14s.jpg
9,test,1,1,1,9,mango_13s.jpg
19,test,1,1,1,19,cookie_15s.jpg
25,test,1,1,1,25,blind_19s.jpg
28,test,1,1,1,28,pear_13s.jpg
36,test,1,1,1,36,butterfly_16n.jpg
41,test,1,1,1,41,cow_16n.jpg
44,test,1,1,1,44,kimono_14s.jpg
79,test,1,1,1,79,beer_14s.jpg
88,test,1,2,1,88,cufflink_16s.jpg
98,test,1,2,1,98,crayon_15s.jpg
104,test,1,2,1,104,coat_rack_13s.jpg
110,test,1,2,1,110,bean_13s.jpg
111,test,1,2,1,111,footprint_15s.jpg
115,test,1,2,1,115,wasp_15n.jpg
121,test,1,2,1,121,spoon_13n.jpg
156,test,1,2,1,156,headlamp_14s.jpg
158,test,1,2,1,158,television_14n.jpg
159,test,1,2,1,159,umbrella_13s.jpg
171,test,1,3,1,171,axe_14n.jpg
185,test,1,3,1,185,piano_13n.jpg
187,test,1,3,1,187,microscope_14n.jpg
196,test,1,3,1,196,seesaw_13s.jpg
198,test,1,3,1,198,hula_hoop_16s.jpg
208,test,1,3,1,208,helicopter_25s.jpg
212,test,1,3,1,212,graffiti_17s.jpg
213,test,1,3,1,213,watch_13s.jpg
224,test,1,3,1,224,sim_card_13s.jpg
244,test,1,3,1,244,dragonfly_13s.jpg
249,test,1,4,1,249,wig_13s.jpg
255,test,1,4,1,255,donut_15s.jpg
259,test,1,4,1,259,iguana_20s.jpg
260,test,1,4,1,260,horse_17s.jpg
263,test,1,4,1,263,drawer_13s.jpg
287,test,1,4,1,287,speaker_16s.jpg
296,test,1,4,1,296,bench_16n.jpg
300,test,1,4,1,300,hippopotamus_16s.jpg
316,test,1,4,1,316,pan_14s.jpg
325,test,1,4,1,325,bulldozer_22n.jpg
346,test,1,5,1,346,chipmunk_16n.jpg
357,test,1,5,1,357,bobsled_14s.jpg
360,test,1,5,1,360,t-shirt_13s.jpg
365,test,1,5,1,365,monkey_18n.jpg
367,test,1,5,1,367,earring_16n.jpg
369,test,1,5,1,369,urinal_13s.jpg
378,test,1,5,1,378,starfish_15n.jpg
380,test,1,5,1,380,cheese_14n.jpg
391,test,1,5,1,391,bike_14s.jpg
392,test,1,5,1,392,whip_14s.jpg
413,test,1,6,1,413,beaver_13n.jpg
422,test,1,6,1,422,shredder_13s.jpg
425,test,1,6,1,425,banana_13s.jpg
441,test,1,6,1,441,alligator_14n.jpg
443,test,1,6,1,443,ribbon_13s.jpg
444,test,1,6,1,444,clipboard_14s.jpg
451,test,1,6,1,451,altar_13s.jpg
463,test,1,6,1,463,crank_16s.jpg
464,test,1,6,1,464,grate_13s.jpg
476,test,1,6,1,476,jam_15s.jpg
496,test,1,7,1,496,pumpkin_21n.jpg
502,test,1,7,1,502,horseshoe_13n.jpg
505,test,1,7,1,505,typewriter_13s.jpg
514,test,1,7,1,514,streetlight_13s.jpg
534,test,1,7,1,534,peach_14n.jpg
549,test,1,7,1,549,joystick_14s.jpg
550,test,1,7,1,550,quill_15s.jpg
561,test,1,7,1,561,kazoo_14s.jpg
567,test,1,7,1,567,boa_13s.jpg
572,test,1,7,1,572,jar_14s.jpg
574,test,1,8,1,574,dress_13s.jpg
576,test,1,8,1,576,mousetrap_14s.jpg
577,test,1,8,1,577,ashtray_14n.jpg
582,test,1,8,1,582,mosquito_net_13s.jpg
589,test,1,8,1,589,tamale_16s.jpg
596,test,1,8,1,596,marshmallow_13s.jpg
620,test,1,8,1,620,brace_14s.jpg
626,test,1,8,1,626,boat_14n.jpg
630,test,1,8,1,630,tent_14n.jpg
652,test,1,8,1,652,bed_20n.jpg
672,test,1,9,1,672,rabbit_13n.jpg
680,test,1,9,1,680,key_17s.jpg
683,test,1,9,1,683,bamboo_13s.jpg
691,test,1,9,1,691,ferris_wheel_20s.jpg
692,test,1,9,1,692,lemonade_14s.jpg
704,test,1,9,1,704,drain_16s.jpg
706,test,1,9,1,706,fudge_14s.jpg
709,test,1,9,1,709,lasagna_13s.jpg
716,test,1,9,1,716,grape_20s.jpg
722,test,1,9,1,722,stalagmite_14s.jpg
765,test,1,10,1,765,guacamole_18s.jpg
771,test,1,10,1,771,wallpaper_13s.jpg
773,test,1,10,1,773,chest1_14s.jpg
776,test,1,10,1,776,dough_19s.jpg
793,test,1,10,1,793,uniform_14s.jpg
799,test,1,10,1,799,easel_15s.jpg
801,test,1,10,1,801,hovercraft_13n.jpg
804,test,1,10,1,804,beachball_16s.jpg
805,test,1,10,1,805,brownie_14s.jpg
810,test,1,10,1,810,nest_13s.jpg
828,test,2,1,1,828,key_17s.jpg
834,test,2,1,1,834,tamale_16s.jpg
836,test,2,1,1,836,uniform_14s.jpg
853,test,2,1,1,853,crayon_15s.jpg
859,test,2,1,1,859,starfish_15n.jpg
870,test,2,1,1,870,coat_rack_13s.jpg
872,test,2,1,1,872,ashtray_14n.jpg
882,test,2,1,1,882,bean_13s.jpg
885,test,2,1,1,885,mousetrap_14s.jpg
891,test,2,1,1,891,nest_13s.jpg
904,test,2,2,1,904,cheese_14n.jpg
905,test,2,2,1,905,bulldozer_22n.jpg
912,test,2,2,1,912,clipboard_14s.jpg
915,test,2,2,1,915,iguana_20s.jpg
919,test,2,2,1,919,helicopter_25s.jpg
931,test,2,2,1,931,boa_13s.jpg
951,test,2,2,1,951,piano_13n.jpg
968,test,2,2,1,968,headlamp_14s.jpg
973,test,2,2,1,973,kazoo_14s.jpg
980,test,2,2,1,980,wallpaper_13s.jpg
984,test,2,3,1,984,stalagmite_14s.jpg
992,test,2,3,1,992,cow_16n.jpg
994,test,2,3,1,994,altar_13s.jpg
1001,test,2,3,1,1001,rabbit_13n.jpg
1028,test,2,3,1,1028,sim_card_13s.jpg
1035,test,2,3,1,1035,bed_20n.jpg
1039,test,2,3,1,1039,lemonade_14s.jpg
1060,test,2,3,1,1060,hula_hoop_16s.jpg
1063,test,2,3,1,1063,mosquito_net_13s.jpg
1065,test,2,3,1,1065,fudge_14s.jpg
1070,test,2,4,1,1070,bobsled_14s.jpg
1076,test,2,4,1,1076,shredder_13s.jpg
1077,test,2,4,1,1077,speaker_16s.jpg
1084,test,2,4,1,1084,dragonfly_13s.jpg
1097,test,2,4,1,1097,hovercraft_13n.jpg
1106,test,2,4,1,1106,umbrella_13s.jpg
1124,test,2,4,1,1124,mango_13s.jpg
1128,test,2,4,1,1128,television_14n.jpg
1141,test,2,4,1,1141,grape_20s.jpg
1142,test,2,4,1,1142,joystick_14s.jpg
1154,test,2,5,1,1154,drain_16s.jpg
1155,test,2,5,1,1155,horseshoe_13n.jpg
